team,year,league,pca1,pca2,pca3,pca4,Over 500,Champion,Playoffs,Playoff Win,Final 2
ATL,1977,N,-3.291430939,0.83171005,-3.279032303,-1.733430563,0,0,1,0,0
BOS,1977,N,-2.345678045,-0.201318453,0.879186439,-1.443631221,0,0,0,0,0
BUF,1977,N,-2.221550065,-0.420381718,0.457713573,-1.129183243,0,0,0,0,0
CHI,1977,N,-1.968944496,0.096165378,0.719482957,-0.541407288,0,0,0,0,0
CLE,1977,N,-1.685036459,0.481002925,1.664614573,-0.852782912,1,0,1,0,0
DEN,1977,N,-4.858201419,0.24668861,-0.063128435,-0.118799818,1,0,1,1,0
DET,1977,N,-3.455817579,0.595465783,0.641110937,-1.240680493,0,0,0,0,0
GSW,1977,N,-2.911812182,0.462488136,0.392249012,-1.660340028,1,0,0,0,0
HOU,1977,N,-1.164367563,-0.341033579,1.03730864,-2.002923228,0,0,0,0,0
IND,1977,N,-4.843346473,0.223080521,-0.010489447,-0.652953448,0,0,0,0,0
KCK,1977,N,-3.907682335,0.041308001,-0.747321208,-1.560090652,0,0,0,0,0
LAL,1977,N,-2.769864724,0.179496563,2.187869552,-1.35502324,1,0,1,0,0
MIL,1977,N,-4.262283853,0.345783987,0.693316614,-1.410233659,1,0,1,1,0
NJN,1977,N,-5.31113966,1.342031892,-0.933683123,-1.110056164,0,0,0,0,0
NOJ,1977,N,-3.849669384,0.5655705,1.674036914,-0.425608919,0,0,0,0,0
NYK,1977,N,-4.698903534,-0.083511843,-0.240446848,-1.72289379,1,0,1,1,0
PHI,1977,N,-5.202795048,-0.05873523,-0.200255162,-0.033730636,1,0,1,1,0
PHO,1977,N,-4.325737976,0.824555382,0.72650872,-1.588754948,1,0,1,0,0
POR,1977,N,-2.421573463,0.407328226,0.145452131,-1.214892591,1,0,1,0,0
SAS,1977,N,-3.537275663,0.334471957,2.305119305,-0.695094329,1,0,1,0,0
SEA,1977,N,-2.550075613,0.686152748,0.607767908,-1.053446588,1,0,1,1,1
WA1,1977,N,-3.589920091,-0.262166071,2.040961959,0.035473471,1,1,1,1,1
ATL,1978,N,-3.915756294,0.532694028,-2.401916693,-0.539611987,1,0,1,1,0
BOS,1978,N,-2.393121578,-0.28136601,0.734103375,-1.30739728,0,0,0,0,0
CHI,1978,N,-2.122958403,0.232307759,0.977852734,-1.161145397,0,0,0,0,0
CLE,1978,N,-1.976485221,-0.178519004,-0.378179849,-1.526490229,0,0,0,0,0
DEN,1978,N,-4.031064308,-0.367072305,-0.190648849,0.014866966,1,0,1,0,0
DET,1978,N,-3.775188657,0.526861259,0.793337814,-1.157500447,0,0,0,0,0
GSW,1978,N,-1.343147917,0.224687129,1.371791435,-1.928787992,0,0,0,0,0
HOU,1978,N,-2.917309077,-1.11468044,0.8305541,-0.948368319,1,0,1,0,0
IND,1978,N,-3.342084916,-0.234511675,0.020132818,-1.031590343,0,0,0,0,0
KCK,1978,N,-4.144546262,-0.294061576,-2.42061504,-1.765257928,1,0,1,0,0
LAL,1978,N,-2.454128827,-0.012764435,2.612149151,-1.061785842,1,0,1,1,0
MIL,1978,N,-3.70995134,0.009214574,0.577266145,-1.815473708,0,0,0,0,0
NJN,1978,N,-5.163866128,0.931422324,-2.170521039,-0.841987661,0,0,1,0,0
NOJ,1978,N,-4.74925061,1.064503595,1.383181981,-0.191975815,0,0,0,0,0
NYK,1978,N,-2.785452176,-0.224725344,-0.027892208,-1.916505597,0,0,0,0,0
PHI,1978,N,-3.725188804,0.382344864,0.576507158,-0.595130666,1,0,1,1,0
PHO,1978,N,-3.685278314,0.200450465,1.046821959,-1.550331938,1,0,1,1,0
POR,1978,N,-3.002022805,0.360647076,-1.1654459,-0.992542755,1,0,1,0,0
SAS,1978,N,-4.805886997,-0.313502885,0.772864501,-0.668834809,1,0,1,1,0
SDC,1978,N,-3.127384671,-0.387781919,0.120369889,-1.206436581,1,0,0,0,0
SEA,1978,N,-2.043350423,0.257315923,1.02613487,-0.885459683,1,1,1,1,1
WA1,1978,N,-3.101866621,-0.700879774,2.589589871,-0.131089088,1,0,1,1,1
ATL,1979,N,-3.076299503,0.805973315,-2.464750656,0.027616126,1,0,1,0,0
BOS,1979,N,-2.434547437,-0.143659862,-0.100577104,-0.723320423,1,0,1,1,0
CHI,1979,N,-3.188650209,0.063743776,-1.108943818,-0.231614256,0,0,0,0,0
CLE,1979,N,-3.307921625,-0.290607988,1.297805681,-0.910983811,0,0,0,0,0
DEN,1979,N,-3.370114707,-0.027368077,0.684885634,-0.134623521,0,0,0,0,0
DET,1979,N,-3.802781822,0.69961993,0.630892244,-1.065665698,0,0,0,0,0
GSW,1979,N,-1.414222796,0.030599292,-0.292031079,-1.957010227,0,0,0,0,0
HOU,1979,N,-2.907587632,0.06794519,0.618524175,-0.920317539,0,0,1,1,0
IND,1979,N,-4.046386892,0.583173163,0.856175281,-0.611114625,0,0,0,0,0
KCK,1979,N,-2.526624461,0.234882339,-0.873372044,-1.413117824,1,0,1,0,0
LAL,1979,N,-2.587681085,0.230821077,2.885434197,-0.479774114,1,1,1,1,1
MIL,1979,N,-2.493559187,0.258266588,1.034098939,-1.052853366,1,0,1,0,0
NJN,1979,N,-4.350402106,0.95939237,-0.747196297,-0.365048534,0,0,0,0,0
NYK,1979,N,-4.084910118,-0.044945331,-0.412708485,-1.370040575,0,0,0,0,0
PHI,1979,N,-3.165909573,0.966275341,1.064524571,0.195964745,1,0,1,1,1
PHO,1979,N,-2.760390201,0.419297511,0.705544344,-0.538147535,1,0,1,1,0
POR,1979,N,-1.173229002,0.649279313,0.247967222,-1.105477634,0,0,1,0,0
SAS,1979,N,-4.926913111,-1.021748011,0.570232023,-0.238386058,0,0,1,0,0
SDC,1979,N,-1.448901579,-0.131164418,1.076418345,-1.340131539,0,0,0,0,0
SEA,1979,N,-2.191545692,0.291419911,1.057772787,-0.657636297,1,0,1,1,0
UTA,1979,N,-0.39285529,-0.035494156,0.209744853,-1.390986837,0,0,0,0,0
WA1,1979,N,-2.489698925,-0.171286823,1.719107044,-0.405713759,0,0,1,0,0
ATL,1980,N,-3.025793993,0.50688677,-2.724915039,-0.466887856,0,0,0,0,0
BOS,1980,N,-2.033054451,0.14003321,-0.015594659,-0.503306712,1,1,1,1,1
CHI,1980,N,-2.380235759,0.384059287,-0.521122514,-0.065734425,1,0,1,1,0
CLE,1980,N,-1.675082121,-0.338654633,0.192155607,-1.652726701,0,0,0,0,0
DAL,1980,N,-1.602184429,-0.63839113,-0.881160611,-0.791246747,0,0,0,0,0
DEN,1980,N,-6.332907021,-1.408320963,-0.508915416,0.798299371,0,0,0,0,0
DET,1980,N,-2.033883209,1.600891847,-0.912904267,-0.992153956,0,0,0,0,0
GSW,1980,N,-2.661149448,-0.931807757,-0.686580669,-0.937894633,0,0,0,0,0
HOU,1980,N,-1.703534745,-0.328295548,1.052727051,-0.891233898,0,0,1,1,1
IND,1980,N,-2.76221027,0.380903692,-0.260030366,-0.520916842,1,0,1,0,0
KCK,1980,N,-1.932525637,-0.249632044,-0.602486114,-1.393651551,0,0,1,1,0
LAL,1980,N,-2.645157197,0.230651906,1.764998414,-0.998161632,1,0,1,0,0
MIL,1980,N,-3.62404427,0.141756744,-1.273372565,-1.037300785,1,0,1,0,0
NJN,1980,N,-3.362917223,0.162417514,-1.61173667,-1.021667116,0,0,0,0,0
NYK,1980,N,-1.687162039,0.222286499,0.308366722,-1.004902009,1,0,1,0,0
PHI,1980,N,-3.402762867,0.613812223,-0.356616606,-0.457928416,1,0,1,1,0
PHO,1980,N,-3.060708021,0.761923077,-0.358681718,-0.894521783,1,0,1,0,0
POR,1980,N,-2.931310159,0.201229885,0.402616408,-1.22069159,1,0,1,0,0
SAS,1980,N,-3.755016658,-0.118987022,-0.42437266,0.62594582,1,0,1,0,0
SDC,1980,N,-1.638315063,-0.441949661,-0.82224161,-1.608435759,0,0,0,0,0
SEA,1980,N,-1.846574074,-0.080149638,-0.037155971,-0.541316376,0,0,0,0,0
UTA,1980,N,-0.663614816,-0.35526323,-0.879068547,-1.320943901,0,0,0,0,0
WA1,1980,N,-1.707655737,0.151073139,1.435660565,-1.007231467,0,0,0,0,0
ATL,1981,N,-1.185481436,-0.112514896,-1.936615258,-0.391970569,1,0,1,0,0
BOS,1981,N,-2.469259893,-0.325358482,0.453942943,-0.079342006,1,0,1,1,0
CHI,1981,N,-2.059500822,-0.04251835,0.20062074,0.35072905,0,0,0,0,0
CLE,1981,N,-1.90507204,-0.570446792,-1.153470707,-1.211581409,0,0,0,0,0
DAL,1981,N,-1.927276758,-0.8507433,-1.480905959,-0.814506719,0,0,0,0,0
DEN,1981,N,-6.215820282,-1.774196605,-0.129826821,0.896671848,1,0,1,0,0
DET,1981,N,-3.997475561,0.377514828,-0.289623261,0.213419073,0,0,0,0,0
GSW,1981,N,-2.529605614,-0.750561014,-0.794235731,-0.874931739,1,0,0,0,0
HOU,1981,N,-1.165204704,-0.274471964,1.281234821,-0.70540339,1,0,1,0,0
IND,1981,N,-1.334292791,0.442899771,0.65909286,-0.8300773,0,0,0,0,0
KCK,1981,N,-2.560340295,-0.129127754,-1.679827561,-1.596315345,0,0,0,0,0
LAL,1981,N,-2.958191378,0.052094265,2.089677603,-0.573979588,1,1,1,1,1
MIL,1981,N,-2.33941782,-0.142301456,-1.075819125,-0.951920641,1,0,1,0,0
NJN,1981,N,-3.240636587,1.034308844,-1.909097796,-1.026498726,1,0,0,0,0
NYK,1981,N,-1.699522502,-0.459402166,-0.53481227,-1.530859336,0,0,1,0,0
PHI,1981,N,-3.166318116,0.381908557,-1.125373728,-0.114115615,1,0,1,1,1
PHO,1981,N,-1.615583513,0.140611739,0.365995735,-0.946011342,1,0,1,1,0
POR,1981,N,-2.109470956,-0.43295971,0.342545711,-0.648093446,1,0,0,0,0
SAS,1981,N,-3.21772736,-0.96828837,-0.470946631,-0.103070039,1,0,1,1,0
SDC,1981,N,-2.464607141,-0.824079742,-2.139456873,-1.390053608,0,0,0,0,0
SEA,1981,N,-1.76852437,-0.443850861,0.597073187,-0.460859733,1,0,1,1,0
UTA,1981,N,-2.977277803,-0.850174022,-0.260124057,-1.077531836,0,0,0,0,0
WA1,1981,N,-1.01651744,0.165001732,0.105203005,-0.672507826,1,0,1,1,0
ATL,1982,N,-1.312177123,0.552451166,0.799792269,-0.467098644,1,0,1,0,0
BOS,1982,N,-3.039294688,-0.083336799,0.374314239,-0.716850265,1,0,1,1,0
CHI,1982,N,-4.604799233,-0.0689157,-0.848403289,0.076320802,0,0,0,0,0
CLE,1982,N,-0.1768832,-0.11935713,-0.827561373,-1.849899772,0,0,0,0,0
DAL,1982,N,-3.311037364,-1.120219068,-0.01083921,-0.12377921,0,0,0,0,0
DEN,1982,N,-6.225749315,-1.009440672,0.247782654,0.350225172,1,0,1,1,0
DET,1982,N,-4.527624248,0.04276544,0.35403578,0.271282851,0,0,0,0,0
GSW,1982,N,-3.159607644,0.488330336,-0.049363187,-1.320175777,0,0,0,0,0
HOU,1982,N,-1.916791435,0.233344556,0.35132616,-1.784196513,0,0,0,0,0
IND,1982,N,-2.859955907,0.088483036,0.568760089,-1.867956737,0,0,0,0,0
KCK,1982,N,-4.586928326,-0.302635585,-2.286867171,-1.181825483,1,0,0,0,0
LAL,1982,N,-2.736356898,0.104519726,2.35013775,-1.246982609,1,0,1,1,1
MIL,1982,N,-1.875765452,-0.273092758,0.268141445,-0.666144531,1,0,1,1,0
NJN,1982,N,-2.908377657,1.648384163,-0.744377514,-1.007687747,1,0,1,0,0
NYK,1982,N,-0.644781003,0.427465228,-1.097373128,-1.310347422,1,0,1,1,0
PHI,1982,N,-3.697491093,0.696374513,0.088137542,0.406051577,1,1,1,1,1
PHO,1982,N,-1.901698807,0.175787645,0.317435227,-1.008646159,1,0,1,0,0
POR,1982,N,-2.046562029,0.052875575,0.109864297,-0.191286436,1,0,1,1,0
SAS,1982,N,-3.398842169,-0.72758536,0.249301553,-0.039890502,1,0,1,1,0
SDC,1982,N,-3.214259031,0.337264867,-1.421084852,-1.761725927,0,0,0,0,0
SEA,1982,N,-2.808643406,-0.408013064,0.951915608,-0.364607456,1,0,1,0,0
UTA,1982,N,-4.11258413,0.50360611,1.062577378,-0.113290258,0,0,0,0,0
WA1,1982,N,-0.718355895,1.122954691,0.572582858,-1.099809824,1,0,0,0,0
ATL,1983,N,-1.178107713,-0.021698343,-1.184591404,-0.207398842,0,0,1,0,0
BOS,1983,N,-1.771205804,-0.6385243,0.357579786,-0.226224355,1,1,1,1,1
CHI,1983,N,-2.777350775,0.116800401,-1.451686251,-0.468052032,0,0,0,0,0
CLE,1983,N,-1.122681171,-0.774814527,-1.194980327,-1.129840849,0,0,0,0,0
DAL,1983,N,-1.778480177,-1.047444489,0.187176243,-0.4711122,1,0,1,1,0
DEN,1983,N,-6.252939175,-1.965086313,-1.530584263,0.010983339,0,0,1,0,0
DET,1983,N,-4.334792046,-1.043828504,-0.876475415,-0.106324244,1,0,1,0,0
GSW,1983,N,-3.530430639,-0.111213157,-0.841771933,-0.741993977,0,0,0,0,0
HOU,1983,N,-3.4188219,-0.383866609,-1.138126085,-1.312848217,0,0,0,0,0
IND,1983,N,-2.226079478,0.322871372,-0.228853008,-1.404396787,0,0,0,0,0
KCK,1983,N,-3.146403064,-0.596388808,-1.484782954,-0.66568415,0,0,1,0,0
LAL,1983,N,-3.130442044,-0.476739027,0.49029975,-0.802843579,1,0,1,1,1
MIL,1983,N,-1.617310998,-0.387207118,-1.018395679,-0.774989389,1,0,1,1,0
NJN,1983,N,-3.211650618,0.145743331,-1.934183896,-0.998146465,1,0,1,1,0
NYK,1983,N,-2.008857437,-0.079554833,-2.263002109,-0.980950677,1,0,1,1,0
PHI,1983,N,-3.156244911,0.809483765,-0.978650857,0.471376564,1,0,1,0,0
PHO,1983,N,-1.972932693,-0.957056223,-0.973843302,-1.457521961,0,0,1,1,0
POR,1983,N,-2.778172602,-0.472653098,-1.340054509,-0.485760809,1,0,1,0,0
SAS,1983,N,-5.086061367,-1.387939185,0.314629102,0.098445307,0,0,0,0,0
SDC,1983,N,-2.466843003,-0.847740102,0.076457475,-0.45989969,0,0,0,0,0
SEA,1983,N,-1.853853785,-0.935313462,0.328879313,-0.273861955,1,0,1,0,0
UTA,1983,N,-4.444438229,-0.332770298,0.128392624,0.667033235,1,0,1,1,0
WA1,1983,N,-0.872414116,-0.374831685,-0.221763675,-0.830216881,0,0,1,0,0
ATL,1984,N,-2.264689589,-0.037637776,-0.146296543,-0.56877806,0,0,0,0,0
BOS,1984,N,-1.515954801,-1.025429147,1.822762042,-0.112414243,1,0,1,1,1
CHI,1984,N,-2.022671994,-0.505942903,-1.11126025,0.060474938,0,0,1,0,0
CLE,1984,N,-3.054881661,-0.873936363,-0.954099198,-0.181894508,0,0,1,0,0
DAL,1984,N,-1.193480094,-1.102274413,0.712091786,-0.084042474,1,0,1,0,0
DEN,1984,N,-5.178103344,-0.466525329,-1.229108784,-0.279909624,1,0,1,1,0
DET,1984,N,-3.632470781,-0.742866333,0.294487205,-0.479823482,1,0,1,1,0
GSW,1984,N,-3.387568397,-0.779838179,-1.370727271,-0.877761371,0,0,0,0,0
HOU,1984,N,-2.767522554,0.232448189,0.002762981,-0.684075349,1,0,1,0,0
IND,1984,N,-3.754677638,-0.454566955,-1.595156807,-0.486580611,0,0,0,0,0
KCK,1984,N,-4.037072327,-1.152769933,-1.358788639,-0.4263724,0,0,0,0,0
LAC,1984,N,-1.690860257,-0.090337691,1.292191008,-0.394832104,0,0,0,0,0
LAL,1984,N,-2.789660923,-0.675224038,1.153261508,-0.572737733,1,1,1,1,1
MIL,1984,N,-2.72578598,-0.400603028,-1.850251363,-0.510109597,1,0,1,1,0
NJN,1984,N,-1.930275814,-0.372930885,-0.30446538,-1.113213672,1,0,1,0,0
NYK,1984,N,-2.643433173,-0.609648898,-3.390268302,-1.754856607,0,0,0,0,0
PHI,1984,N,-3.473047739,-0.066581704,-1.261655985,0.632319509,1,0,1,1,0
PHO,1984,N,-2.327867356,-0.337943257,-0.022173291,-0.935363745,0,0,1,0,0
POR,1984,N,-3.761220265,-0.180368,0.020261065,0.086563158,1,0,1,1,0
SAS,1984,N,-3.899725606,-0.660602019,-1.269424044,-0.222858806,0,0,1,0,0
SEA,1984,N,-1.366784311,-0.215544718,-0.2454291,-0.606747254,0,0,0,0,0
UTA,1984,N,-3.599517719,0.695828431,0.376997113,0.268987602,0,0,1,1,0
WA1,1984,N,-0.771090825,-0.076622603,1.092818325,-1.199644958,0,0,1,0,0
ATL,1985,N,-2.696578348,-0.310300553,-1.501271052,-0.178545255,1,0,1,1,0
BOS,1985,N,-1.660195461,-0.481366825,1.33949918,0.019585815,1,1,1,1,1
CHI,1985,N,-2.741128786,-0.805742721,-1.656960095,-0.355461739,0,0,1,0,0
CLE,1985,N,-2.540275039,-0.815282872,-1.637953617,-0.825621035,0,0,0,0,0
DAL,1985,N,-2.611135439,-1.37485,1.189920976,0.615313164,1,0,1,1,0
DEN,1985,N,-4.277731411,-0.468508592,-0.942876092,-0.664497249,1,0,1,1,0
DET,1985,N,-3.502944727,-0.741914465,-0.55933406,-0.776466724,1,0,1,0,0
GSW,1985,N,-3.477474929,-0.835267267,-0.12141598,-0.477626214,0,0,0,0,0
HOU,1985,N,-3.312685554,-0.474114693,0.37914722,-0.202357968,1,0,1,1,1
IND,1985,N,-1.993765706,-0.175029813,-0.895405809,-0.970134855,0,0,0,0,0
LAC,1985,N,-3.341569241,-0.340754463,0.05559906,0.385550387,0,0,0,0,0
LAL,1985,N,-2.831098214,-0.903034025,0.221701054,-0.647010693,1,0,1,1,0
MIL,1985,N,-3.255814545,-0.509793516,-1.963275558,-0.067414416,1,0,1,1,0
NJN,1985,N,-2.736752458,-0.359795192,-1.393062366,-0.966440237,0,0,1,0,0
NYK,1985,N,-1.464418973,0.158297917,-2.332194139,-1.684414298,0,0,0,0,0
PHI,1985,N,-3.068227374,0.483810554,0.367110264,0.668712557,1,0,1,1,0
PHO,1985,N,-3.84530055,-0.324761704,-2.190697427,-0.4655211,0,0,0,0,0
POR,1985,N,-4.301323042,-0.734520346,-1.946146437,-0.256466777,0,0,1,0,0
SAC,1985,N,-2.860709411,-0.617971692,-1.261965234,-0.671650824,0,0,1,0,0
SAS,1985,N,-3.419883623,-0.30437243,-1.036719303,-0.474416284,0,0,1,0,0
SEA,1985,N,-1.330979049,-0.396408833,-1.751027782,-1.177347195,0,0,0,0,0
UTA,1985,N,-3.409614921,0.279228144,-0.894276109,0.503365808,1,0,1,0,0
